0,10010011111111100000000000000100,4,00000000
4,10010011111111100000000000000100,4,00000004
8,10000001111000000001111111111100,4,00000008
12,10000001111000000010111111111100,4,0000000c
16,10010010000111110000000000011000,4,00000010
20,10010011000100010000000000000000,4,00000014
24,10010010001011110000000000010100,4,00000018
28,10000000001000000001000000000000,4,0000001c
32,10010011001011100000000000000100,4,00000020
36,10010011000111100000000000000100,4,00000024
40,10010011111111100000000000000100,4,00000028
44,00000000000000001010101111001101,4,0000002c
48,00000000000000000000000110110100,4,00000030
4026531840,10000001111000000010111111111100,4,f0000000
4026531844,10010010000111100000000000001000,4,f0000004
4026531848,10010010001011100000000000001100,4,f0000008
4026531852,01010000000100010010000000000000,4,f000000c
4026531856,10010011001011100000000000000100,4,f0000010
4026531860,10010011111111100000000000000100,4,f0000014
4026531864,10000001111000000010111111111100,4,f0000018
4026531868,10010010000111100000000000001000,4,f000001c
4026531872,10010010001011100000000000001100,4,f0000020
4026531876,01010001000100010010000000000000,4,f0000024
4026531880,10010011001011100000000000000100,4,f0000028
4026531884,10010011111111100000000000000100,4,f000002c
4026531888,10000001111000000010111111111100,4,f0000030
4026531892,10010010000111100000000000001000,4,f0000034
4026531896,10010010001011100000000000001100,4,f0000038
4026531900,01010010000100010010000000000000,4,f000003c
4026531904,10010011001011100000000000000100,4,f0000040
4026531908,10010011111111100000000000000100,4,f0000044
4026531912,10000001111000000010111111111100,4,f0000048
4026531916,10010010000111100000000000001000,4,f000004c
4026531920,10010010001011100000000000001100,4,f0000050
4026531924,01010011000100010010000000000000,4,f0000054
4026531928,10010011001011100000000000000100,4,f0000058
4026531932,10010011111111100000000000000100,4,f000005c
1073741824,10010010111011110000000011010100,4,40000000
1073741828,10010011111011100000000000000000,4,40000004
1073741832,10010010000111110000000011010000,4,40000008
1073741836,10010100000100010000000000000000,4,4000000c
1073741840,00111000111000000000111111111000,4,40000010
1073741844,10010001000100000000000000000001,4,40000014
1073741848,10000001111000000001111111111100,4,40000018
1073741852,10010001000100000000000000000001,4,4000001c
1073741856,10000001111000000001111111111100,4,40000020
1073741860,00100001111100000000000010111000,4,40000024
1073741864,10000000001000000001000011111111,4,40000028
